"","State","Years","Median_Bach","Bach_M_Median","Bach_F_Median","Median_Grad","Grad_M_Median","Grad_F_Median"
"283","Oklahoma",2020,"48,010","(X)","(X)","60,818","(X)","(X)"
"284","Oklahoma",2019,"47,828","(X)","(X)","61,092","(X)","(X)"
"285","Oklahoma",2018,"46,162","(X)","(X)","58,154","(X)","(X)"
"286","Oklahoma",2017,"46,203","(X)","(X)","56,850","(X)","(X)"
"287","Oklahoma",2016,"44,977","(X)","(X)","57,433","(X)","(X)"
"288","Oklahoma",2015,"42,195","(X)","(X)","55,490","(X)","(X)"
"289","Oregon",2022,"62,676","(X)","(X)","81,633","(X)","(X)"
"290","Oregon",2021,"57,419","(X)","(X)","78,702","(X)","(X)"
"291","Oregon",2020,"52,857","(X)","(X)","70,453","(X)","(X)"
"292","Oregon",2019,"52,498","(X)","(X)","70,854","(X)","(X)"
"293","Oregon",2018,"51,699","(X)","(X)","69,381","(X)","(X)"
"294","Oregon",2017,"48,567","(X)","(X)","64,380","(X)","(X)"
"295","Oregon",2016,"46,942","(X)","(X)","63,868","(X)","(X)"
"296","Oregon",2015,"44,049","(X)","(X)","61,139","(X)","(X)"
"297","Pennsylvania",2022,"64,722","(X)","(X)","80,977","(X)","(X)"
"298","Pennsylvania",2021,"61,170","(X)","(X)","78,261","(X)","(X)"
"299","Pennsylvania",2020,"55,309","(X)","(X)","73,943","(X)","(X)"
"300","Pennsylvania",2019,"55,326","(X)","(X)","73,805","(X)","(X)"
"301","Pennsylvania",2018,"52,668","(X)","(X)","71,209","(X)","(X)"
"302","Pennsylvania",2017,"51,950","(X)","(X)","70,080","(X)","(X)"
"303","Pennsylvania",2016,"51,199","(X)","(X)","69,691","(X)","(X)"
"304","Pennsylvania",2015,"50,791","(X)","(X)","66,931","(X)","(X)"
"305","Rhode Island",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"306","Rhode Island",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"307","Rhode Island",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"308","Rhode Island",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"309","Rhode Island",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"310","Rhode Island",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"311","Rhode Island",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"312","Rhode Island",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"313","South Carolina",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"314","South Carolina",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"315","South Carolina",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"316","South Carolina",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"317","South Carolina",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"318","South Carolina",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"319","South Carolina",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"320","South Carolina",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"321","South Dakota",2022,NA,"(X)","(X)",NA,"(X)","(X)"
"322","South Dakota",2021,NA,"(X)","(X)",NA,"(X)","(X)"
"323","South Dakota",2020,NA,"(X)","(X)",NA,"(X)","(X)"
"324","South Dakota",2019,NA,"(X)","(X)",NA,"(X)","(X)"
"325","South Dakota",2018,NA,"(X)","(X)",NA,"(X)","(X)"
"326","South Dakota",2017,NA,"(X)","(X)",NA,"(X)","(X)"
"327","South Dakota",2016,NA,"(X)","(X)",NA,"(X)","(X)"
"328","South Dakota",2015,NA,"(X)","(X)",NA,"(X)","(X)"
"329","Tennessee",2022,"57,539","(X)","(X)","72,837","(X)","(X)"
"330","Tennessee",2021,"53,286","(X)","(X)","67,850","(X)","(X)"
"331","Tennessee",2020,"50,111","(X)","(X)","63,085","(X)","(X)"
"332","Tennessee",2019,"50,633","(X)","(X)","62,832","(X)","(X)"
"333","Tennessee",2018,"48,256","(X)","(X)","61,543","(X)","(X)"
"334","Tennessee",2017,"46,779","(X)","(X)","60,242","(X)","(X)"
"335","Tennessee",2016,"46,065","(X)","(X)","56,454","(X)","(X)"
"336","Tennessee",2015,"45,600","(X)","(X)","56,896","(X)","(X)"
"337","Texas",2022,"64,905","(X)","(X)","82,824","(X)","(X)"
"338","Texas",2021,"61,341","(X)","(X)","77,567","(X)","(X)"
"339","Texas",2020,"57,267","(X)","(X)","73,082","(X)","(X)"
"340","Texas",2019,"56,853","(X)","(X)","72,195","(X)","(X)"
"341","Texas",2018,"55,437","(X)","(X)","71,167","(X)","(X)"
"342","Texas",2017,"54,211","(X)","(X)","70,427","(X)","(X)"
"343","Texas",2016,"52,967","(X)","(X)","69,803","(X)","(X)"
"344","Texas",2015,"51,887","(X)","(X)","70,031","(X)","(X)"
"345","Utah",2022,"60,973","(X)","(X)","90,548","(X)","(X)"
"346","Utah",2021,"56,175","(X)","(X)","81,947","(X)","(X)"
"347","Utah",2020,"51,386","(X)","(X)","76,074","(X)","(X)"
"348","Utah",2019,"51,611","(X)","(X)","76,099","(X)","(X)"
"349","Utah",2018,"49,238","(X)","(X)","72,603","(X)","(X)"
"350","Utah",2017,"47,092","(X)","(X)","70,156","(X)","(X)"
"351","Utah",2016,"47,164","(X)","(X)","70,026","(X)","(X)"
"352","Utah",2015,"46,255","(X)","(X)","70,017","(X)","(X)"
"353","Vermont",2022,"54,163","(X)","(X)","68,409","(X)","(X)"
"354","Vermont",2021,"49,075","(X)","(X)","67,439","(X)","(X)"
"355","Vermont",2020,"46,700","(X)","(X)","62,750","(X)","(X)"
"356","Vermont",2019,"47,170","(X)","(X)","61,617","(X)","(X)"
"357","Vermont",2018,"43,198","(X)","(X)","60,524","(X)","(X)"
"358","Vermont",2017,"40,592","(X)","(X)","58,628","(X)","(X)"
"359","Vermont",2016,"42,338","(X)","(X)","57,297","(X)","(X)"
"360","Vermont",2015,"40,348","(X)","(X)","55,525","(X)","(X)"
"361","Virginia",2022,"73,893","(X)","(X)","96,914","(X)","(X)"
"362","Virginia",2021,"65,495","(X)","(X)","92,057","(X)","(X)"
"363","Virginia",2020,"61,390","(X)","(X)","85,957","(X)","(X)"
"364","Virginia",2019,"61,529","(X)","(X)","85,582","(X)","(X)"
"365","Virginia",2018,"60,105","(X)","(X)","82,600","(X)","(X)"
"366","Virginia",2017,"58,191","(X)","(X)","80,946","(X)","(X)"
"367","Virginia",2016,"56,324","(X)","(X)","80,559","(X)","(X)"
"368","Virginia",2015,"55,799","(X)","(X)","78,049","(X)","(X)"
"369","Washington",2022,"76,376","(X)","(X)","100,613","(X)","(X)"
"370","Washington",2021,"72,286","(X)","(X)","96,132","(X)","(X)"
